Acropora,Pavona,Favids,Montipora,Lithopyllon,Porites,Goniopora,Platygyra,Hydnophora,Cyphastrea,Echinophyllia,Turbinaria,Psammacora,Lepastrea
0.0,17.5,8.8,0.0,0.0,15.8,12.3,42.1,3.5,0.0,0.0,0.0,0.0,0.0
0.0,43.9,5.3,0.0,0.0,7.0,12.3,22.8,8.8,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.7,0.0,0.0,0.0,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.2,0.0,0.0,0.0,0.0,83.3,0.0,4.2,8.3,0.0,0.0,0.0
0.0,0.0,17.4,0.0,0.0,52.2,0.0,0.0,0.0,4.3,0.0,0.0,0.0,26.1
0.0,0.0,9.1,0.0,0.0,63.6,9.1,0.0,0.0,0.0,0.0,0.0,0.0,18.2
0.0,0.0,11.8,0.0,0.0,0.0,0.0,20.6,11.8,26.5,0.0,0.0,0.0,29.4
0.0,0.0,8.3,0.0,4.2,0.0,12.5,4.2,8.3,20.8,8.3,0.0,0.0,33.3
0.0,0.0,6.7,0.0,0.0,0.0,40.0,46.7,6.7,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.3,87.5,6.3,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.5,0.0,0.0,2.4,0.0,31.0,4.8,2.4,0.0,0.0,0.0,19.0
0.0,0.0,57.1,0.0,3.6,0.0,0.0,25.0,0.0,7.1,0.0,3.6,0.0,3.6
42.9,0.0,14.3,0.0,0.0,0.0,14.3,28.6,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,42.9,0.0,0.0,0.0,14.3,28.6,0.0,0.0,0.0,0.0,0.0,14.3
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,26.3,5.3,0.0,0.0,0.0,0.0
0.0,0.0,13.3,0.0,0.0,0.0,0.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.8,0.0,0.0,0.0,0.0,76.5,5.9,5.9,0.0,0.0,0.0,0.0
0.0,0.0,62.5,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,23.9,2.2,0.0,8.7,30.4,0.0,0.0,0.0,26.1,0.0,0.0,0.0,8.7
0.0,5.6,5.6,0.0,20.4,22.2,0.0,11.1,3.7,22.2,0.0,5.6,0.0,3.7
0.0,4.1,4.1,2.7,31.5,6.8,0.0,5.5,15.1,8.2,0.0,0.0,0.0,21.9
0.0,1.5,14.7,0.0,29.4,2.9,2.9,14.7,2.9,16.2,0.0,0.0,0.0,14.7
0.0,48.0,10.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,32.0
0.0,86.1,0.0,0.0,5.6,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,2.8
2.1,2.1,20.8,31.3,0.0,25.0,0.0,0.0,0.0,12.5,6.3,0.0,0.0,0.0
20.6,0.0,17.6,17.6,0.0,23.5,0.0,8.8,5.9,5.9,0.0,0.0,0.0,0.0
0.0,14.3,50.0,0.0,0.0,21.4,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,27.3,0.0,18.2,0.0,18.2,0.0,0.0,36.4,0.0,0.0,0.0
0.0,34.8,4.3,0.0,0.0,34.8,8.7,15.2,0.0,0.0,0.0,2.2,0.0,0.0
0.0,36.7,10.2,0.0,0.0,18.4,6.1,28.6,0.0,0.0,0.0,0.0,0.0,0.0
